,Squad,Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK
47,England,21.333333333333332,25.93333333333333,54.349999999999994,3.3333333333333335,36.66666666666667,310.0,3.4499999999999997,5.0,2.833333333333333,4.0,1.0,1.1666666666666665,2.0,0.0,1.5816666666666666,0.9916666666666667,2.5716666666666663,1.2650000000000001,2.256666666666667
48,Estonia,25.5,25.1,,2.5,27.5,225.0,2.5,1.0,0.0,0.5,0.5,0.5,5.5,0.0,0.41500000000000004,0.0,0.41500000000000004,0.25,0.25
49,Eswatini,17.0,29.2,,2.0,22.0,180.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
50,Ethiopia,16.5,24.65,,1.0,11.0,90.0,1.0,2.5,2.5,2.5,0.0,0.0,1.0,0.0,2.5,2.5,5.0,2.5,5.0
51,Faroe Islands,22.333333333333332,27.96666666666667,,2.0,22.0,180.0,2.0,2.3333333333333335,2.0,2.0,0.3333333333333333,0.3333333333333333,3.6666666666666665,0.0,1.1666666666666667,1.0,2.1666666666666665,1.0,2.0
52,Fiji,15.0,25.9,,1.0,11.0,90.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0
53,Finland,26.666666666666668,26.53333333333333,,2.6666666666666665,29.333333333333332,240.0,2.6666666666666665,2.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,0.8333333333333334,0.5833333333333334,1.4166666666666667,0.75,1.3333333333333333
54,France,20.666666666666668,26.916666666666668,50.8,3.5,38.5,315.0,3.5,6.666666666666666,4.5,5.833333333333334,0.8333333333333333,1.1666666666666667,1.6666666666666667,0.16666666666666666,2.19,1.5933333333333333,3.783333333333333,2.0033333333333334,3.595
55,Gabon,11.5,27.450000000000003,,1.0,11.0,90.0,1.0,0.5,0.0,0.0,0.5,0.5,1.5,0.0,0.5,0.0,0.5,0.0,0.0
56,Gambia,22.5,24.35,,3.5,38.5,315.0,3.5,3.5,2.0,2.0,1.5,2.0,3.0,0.5,1.0,0.75,1.75,0.75,1.5
57,Georgia,28.0,26.4,,3.0,33.0,270.0,3.0,2.5,2.0,2.5,0.0,0.0,7.0,1.0,0.75,0.625,1.375,0.75,1.375
